MachineName,PrimaryUser,SystemManufacturer,SystemProduct,SystemModel,CPUProduct,CPU Speed(MHz),Device CreateDate,Hard DiskSpace,Free DiskSpace,IP Address
fbe-115444,mq20120177,ASUSTeK COMPUTER INC.,UX31A,,Core i7-3517U,1900,03/14/2013,244191,112397,10.72.3.79
fbe-115451,42778794,ASUSTeK COMPUTER INC.,UX31A,,Core i7-3517U,1900,03/14/2013,244191,59757,10.1.1.5
fbe-115469,mq20096276,ASUSTeK COMPUTER INC.,UX31A,,Core i7-3517U,1900,03/14/2013,256053,130685,192.168.0.12
fbe-115477,MQ20134940,ASUSTeK COMPUTER INC.,UX31A,,Core i7-3517U,1900,03/14/2013,721129,448767,10.72.3.104
fbe-115485,mq20101329,ASUSTeK COMPUTER INC.,UX31A,,Core i7-3517U,1900,03/14/2013,244191,192338,10.41.19.152
fbe-115493,mq41921771,Toshiba,Portege Z930,PT235A-04D04X,Core i7-3687U,2100,07/21/2013,244191,93204,10.41.75.161
fbe-115501,mq20085271,Toshiba,Portege Z930,PT235A-04D04X,Core i7-3687U,2100,7/01/2013,244191,94641,10.41.46.54
fbe-115527,mq42057221,Toshiba,Portege Z930,PT235A-04D04X,Core i7-3687U,2100,07/21/2013,244191,185847,10.41.22.29
fbe-115535,mq20101329,Toshiba,Portege Z930,PT235A-04D04X,Core i7-3687U,2100,7/02/2013,244191,74516,10.72.3.229
fbe-115543,mq20111763,Toshiba,Portege Z930,PT235A-04D04X,Core i7-3687U,2100,07/21/2013,244191,92909,10.41.38.185
fbe-115550,MQ20147240,Toshiba,Portege Z930,PT235A-04D04X,Core i7-3687U,2100,07/21/2013,244191,94636,10.41.72.223
fbe-115568-vm,mq20006694,innotek GmbH,VirtualBox,,Core i7-4960X,3600,12/08/2014,332800,193365,10.41.20.47
fbe-115576,mq20109053,Toshiba,Portege Z930,PT235A-04D04X,Core i7-3687U,2100,07/21/2013,244191,100827,10.72.2.218
fbe-115584,mq20121397,Toshiba,Portege Z930,PT235A-04D04X,Core i7-3687U,2100,07/21/2013,244191,80726,10.72.2.246
fbe-115592,mq20101411,Toshiba,Portege Z930,PT235A-04D04X,Core i7-3687U,2100,07/21/2013,244191,95205,10.41.72.222
fbe-115600,MQ20130268,Toshiba,Portege Z930,PT235A-04D04X,Core i7-3687U,2100,07/21/2013,244191,93749,10.72.3.27
fbe-115618,MQ20131378,Toshiba,Portege Z930,PT235A-04D04X,Core i7-3687U,2100,07/16/2013,244191,79237,10.41.26.80
fbe-115634,mq20071928,Toshiba,Portege Z930,PT235A-04D04X,Core i7-3687U,2100,07/21/2013,244191,82269,10.41.75.76
fbe-115998,mq20057705,Toshiba,Portege Z930,PT235A-04D04X,Core i7-3687U,2100,04/15/2015,244191,137058,10.72.3.96
fbe-116004,mq20084092,Toshiba,Portege Z930,PT235A-04D04X,Core i7-3687U,2100,09/19/2013,244191,186422,10.41.19.124
fbe-116012,mq20018228,Toshiba,Portege Z930,PT235A-04D04X,Core i7-3687U,2100,09/19/2013,244191,104470,10.0.0.35
fbe-116020,mq96319437,Toshiba,Portege Z930,PT235A-04D04X,Core i7-3687U,2100,09/19/2013,244196,124321,10.41.26.254
fbe-116038,MQ20130268,Toshiba,Portege Z930,PT235A-04D04X,Core i7-3687U,2100,09/19/2013,244191,167103,10.41.78.210
fbe-116046,mq20072096,Toshiba,Portege Z930,PT235A-04D04X,Core i7-3687U,2100,09/19/2013,244191,154549,192.168.1.6
fbe-116053,mq98003666,Toshiba,Portege Z930,PT235A-04D04X,Core i7-3687U,2100,09/19/2013,244191,88557,10.72.2.194
fbe-116061,mq20007398,Toshiba,Portege Z930,PT235A-04D04X,Core i7-3687U,2100,09/19/2013,244191,181348,10.41.25.48
fbe-116079,mq20019469,Toshiba,Portege Z930,PT235A-04D04X,Core i7-3687U,2100,09/20/2013,244191,97117,10.72.2.44
fbe-116087,MQ20140385,Toshiba,Portege Z930,PT235A-04D04X,Core i7-3687U,2100,09/19/2013,244191,20186,10.41.33.63
fbe-116095,mq20084233,Toshiba,Portege Z930,PT235A-04D04X,Core i7-3687U,2100,09/19/2013,244191,82573,10.41.36.222
fbe-116103,42982502,Toshiba,Portege Z930,PT235A-04D04X,Core i7-3687U,2100,09/19/2013,244191,185588,10.41.17.179
fbe-116111,41733665,Toshiba,Portege Z930,PT235A-04D04X,Core i7-3687U,2100,09/19/2013,244191,34157,10.0.1.6
fbe-116129,mq20101330,Toshiba,Portege Z930,PT235A-04D04X,Core i7-3687U,2100,09/19/2013,244191,178637,10.41.26.157
fbe-116137,mq20111956,Toshiba,Portege Z930,PT235A-04D04X,Core i7-3687U,2100,09/19/2013,244191,56392,10.72.3.46
fbe-116145,mq20120168,Toshiba,Portege Z930,PT235A-04D04X,Core i7-3687U,2100,09/19/2013,244191,79677,10.41.42.169
fbe-116152,mq20045669,Toshiba,Portege R830,PT320A-03N00701,Core i5-2410M,2300,2/08/2012,476938,212055,192.168.0.5
fbe-116160,mq20097962,Toshiba,Portege R830,PT320A-03N00701,Core i5-2410M,2300,4/08/2012,500105,61004,10.196.29.203
fbe-116178,mq20058759,Toshiba,Portege R830,PT320A-03N00701,Core i5-2410M,2300,09/13/2012,476938,185702,10.41.19.239
fbe-116186,mq20120679,Toshiba,Portege R830,PT320A-03N00701,Core i5-2410M,2300,09/13/2012,476938,46799,10.41.94.57
fbe-116194,mq20112230,Toshiba,Portege R830,PT320A-03N00701,Core i5-2410M,2300,03/20/2012,476938,144153,10.41.46.197
fbe-116202,mq20096845,Toshiba,Portege R830,PT320A-03N00701,Core i5-2410M,2300,09/14/2012,476938,102076,10.41.68.122
fbe-116210,mq20097199,Toshiba,Portege R830,PT320A-03N00701,Core i5-2410M,2300,7/10/2012,476938,381009,10.41.59.187
fbe-116236,mq90500172,Toshiba,Portege R830,PT320A-03N00701,Core i5-2410M,2300,04/23/2012,476938,112309,10.72.2.56
fbe-116244,mq40167852,Toshiba,Portege R830,PT320A-03N00701,Core i5-2410M,2300,04/22/2012,476938,195622,10.41.22.119
fbe-116251,mq20120519,Toshiba,Portege R830,PT320A-03N00701,Core i5-2410M,2300,8/08/2012,476938,197007,10.41.20.136
fbe-116269,mq90614798,Toshiba,Portege R830,PT320A-03N00701,Core i5-2410M,2300,2/07/2012,476938,113172,10.41.68.209
fbe-116277,mq20101568,Toshiba,Portege R830,PT320A-03N00701,Core i5-2410M,2300,09/14/2012,476938,81620,10.41.42.198
fbe-116285,mq92503829,Toshiba,Portege R830,PT320A-03N00701,Core i5-2410M,2300,09/13/2012,476938,195309,10.41.18.176
fbe-116293,mq20034282,Toshiba,Portege R830,PT320A-03N00701,Core i5-2410M,2300,4/09/2012,476938,195427,10.41.17.222
fbe-116335,mq20095942,LENOVO,ThinkPad T520,4242-PV6,Core i5-2520M,2500,7/09/2012,305243,106386,10.41.41.136
fbe-116343,mq20045595,LENOVO,ThinkPad T520,4242-PV6,Core i5-2520M,2500,09/14/2012,305243,110678,192.168.1.14
fbe-116350,mqx803592,LENOVO,ThinkPad T520,4242-PV6,Core i5-2520M,2500,2/07/2012,305243,102825,10.41.36.162
