Application Name,Version,Dependency,App Usage,MSI,MST,Config Files,Setup.exe,license server,License type,Lic count,Number of staff ,Application Type,Phase,Hardcoded License issue,Sequencing Done,Tech,AKS and other Documentation,Tech,Publishing Done,Tech,Published on Citrix Storefront,Tech,Testing Done,Tech,Directly on Server,Comments
WinEdit,6,None,FBE,yes,no,no,no,no,Faculty individual,200,20,application add-in,1,no,yes,FG,yes,AB,yes,FG,yes,RA,yes,FG,no,"Application working fine, AKS uploaded by Andy on Fab's behalf"
WinRATS Standard,9,None,FBE,yes,no,yes,no,no,Faculty Site,NA,Unknown,application,1,no,yes,AB,yes,AB,yes,AB,Yes,RA,yes,AB,no,Testing done; AKS done
XLSTAT,2015,Microsoft Office,FBE,yes,no,no,no,no,Faculty Site,NA,Unknown,add-in,1,yes,,,,,,,,,,,,
Adobe Indesign,CS6,None,FBE,,,,,,INDIVIDUAL,11,5,application,2,no,,,,,,,,,,,,
Adobe Indesign,CS5,None,FBE,,,,,,INDIVIDUAL,6,4,application,2,no,,,,,,,,,,,,
Adobe Photoshop ,CS6,None,FBE,,,,,,INDIVIDUAL,0,0,application,2,no,,,,,,,,,,,,
Adobe Photoshop ,CS5,None,FBE,,,,,,INDIVIDUAL,9,7,application,2,no,,,,,,,,,,,,
DIVER,1,None,UNI,no,no,yes,no,no,FREEWARE,0,0,application,2,no,,,,,,,,,,,,
Dragon Natural Speaking,12,None,FBE,no,no,no,yes,no,INDIVIDUAL,1,0,application,2,no,,,,,,,,,,,,
Foresight,1,None,FBE,no,no,yes,no,no,UNI SITE,0,0,application,2,To be investigated,,,,,,,,,,,,
FreeMind,0.8.1,Java,FBE,no,no,no,yes,no,FREEWARE,0,0,application,2,no,,,,,,,,,,,,
GAMS,1,None,FBE,,,,,,INDIVIDUAL,1,1,application,2,To be investigated,,,,,,,,,,,,
GAUSS,14,None,FBE,yes,no,no,no,yes,INDIVIDUAL,3,3,application,2,no,,,,,,,,,,,,
